channel_id,marker_name,marker_mean,marker_std,marker_id
0,ACTB,11.808867753366018,42.45512882802085,143
1,CA2,2.306219053698086,3.6850694830817896,159
2,CD11B,10.823041121093326,77.48129690149517,180
3,CD14,5.071527302857633,259.1503050722887,192
4,CD16,1.657781156839928,1.8426300090351733,196
5,CD163,3.191031227258548,6.717123771586524,200
6,CD20,2.379896364070364,112.7756203425095,214
7,CD3,2.103989098978996,9.746221285498986,232
8,CD31,2.680284697544179,7.777502389003307,236
9,CD4,2.372463849085835,9.192492614168652,248
10,CD44,3.455349201743333,72.33351065978523,254
11,CD45,2.46236088901506,13.39701218203187,256
12,CD45RO,2.093508788298003,31.66543778342612,260
13,CD56,3.291977022257273,32.75601086304957,272
14,CD57,5.515221462176107,449.7243820436652,274
15,CD68,3.1805495051229884,87.88793518405079,282
16,CD8,3.100055645951714,211.0187612499372,294
17,CD99,18.171870653873896,28.840834660578345,295
18,CHGA,3.339330879217357,80.7780144933435,321
19,CK19,5.5756451398423605,27.73103776367161,319
20,COL1,15.73115605975096,42.17999021280304,313
21,CPEP,3.430550185956724,26.92523588470332,341
22,DNA,77.69677814581162,89.96658702787514,3
23,FOXP3,4.151290765385345,48.03554305297359,28
24,GCG,3.4201449528156025,9.968787374154171,323
25,GHRL,2.603491209806073,22.158451053891984,325
26,GITR,1.233121467338001,0.5490142768086925,350
27,GZMB,2.2709575428156894,4.809201117181416,360
28,HLA-ABC,6.998050491062855,30.96997167105562,367
29,HLA-DR,4.1986065990710975,11.45749975541168,370
30,IAPP,1.9854917553960347,4.567939370151654,343
31,KRT,15.089294535923123,76.18764497195174,322
32,KI67,2.020910754999849,10.746894404857738,46
33,NES,2.8227539507909785,62.75542925444908,345
34,NFKB,3.307742969110484,33.53421172044428,47
35,NKX6-1,2.4522914908004774,27.66021865090236,53
36,PDX1,4.019111400504259,20.95655143746969,57
37,PPY,3.0421112840963582,11.115233120068853,333
38,SST,5.248997031109362,62.999520180178585,335
39,P16,2.2685695807481614,1.7614634085015075,61
40,PS6,10.205840499242388,14.449123314801032,459
